연도,회차,사전예고,본공고,확약서 마감,질의 마감,제출,심사,지구명,블록,주택규모,세대수,유형,사업비(추정),컨소시엄,TP랩스,PM팀,담당자,팀원,진행상황,PQ목록 배포,PQ스캔본 취합,PQ원본취합,날인 예정일,,,,,,사전-본공고,본공고-확약서마감,확약서-질의마감,본공고-제출,제출-심사
2025,4-1차,25.04.25 (금),25.05.21 (수),25.05.28 (수),25.06.02 (월),25.06.30 (월),25.07.16 (수),의왕군포안산,S1-1,60이하 / 60~85,659세대,일반형,"1,970억",- 동부+대우+흥한 (해마+에스파스),,,,,,,,,,,,,,,26,#REF!,#REF!,40,16
2025,4-1차,25.04.25 (금),25.05.21 (수),25.05.28 (수),25.06.02 (월),25.06.30 (월),25.07.16 (수),의왕군포안산,S1-3,60이하 / 60~85,951세대,일반형,"2,848억",- 동부+대우+흥한 (해마+에스파스),,,,,,,,,,,,,,,,,,,
2025,4-2차,25.04.25 (금),25.05.21 (수),25.05.28 (수),25.06.02 (월),25.06.30 (월),25.07.08 (화),의왕군포안산,A1-1,60이하,956세대,일반형,"2,666억","- 극동51+제일29+HJ20 (라온)
- 금호+이수+한양+플러스",,,,,,,,,,,,,,,26,#REF!,#REF!,40,8
2025,4-2차,25.04.25 (금),25.05.21 (수),25.05.28 (수),25.06.02 (월),25.06.30 (월),25.07.08 (화),의왕군포안산,A1-2 (장수명),60이하,963세대,선택형,"2,903억","- 극동51+제일29+HJ20 (라온)
- 금호+이수+한양+플러스",,,,,,,,,,,,,,,,,,,
2025,4-2차,25.04.25 (금),25.05.21 (수),25.05.28 (수),25.06.02 (월),25.06.30 (월),25.07.08 (화),의왕군포안산,A1-4,60이하,897세대,나눔형,"2,481억","- 극동51+제일29+HJ20 (라온)
- 금호+이수+한양+플러스",,,,,,,,,,,,,,,,,,,
2025,4-3차,25.04.25 (금),25.05.21 (수),25.05.28 (수),25.06.02 (월),25.06.24 (화),25.07.09 (수),고양창릉,S-1,60이하 / 60~85,494세대,일반형,"1,410억",- 우미+계룡+태영+ESI (해안),,,,,,,,,,,,,,,26,#REF!,#REF!,34,15
2025,4-3차,25.04.25 (금),25.05.21 (수),25.05.28 (수),25.06.02 (월),25.06.24 (화),25.07.09 (수),의정부법조타운,S-2,60이하 / 60~85,560세대,선택형,"1,574억",- 우미+계룡+태영+ESI (해안),,,,,,,,,,,,,,,,,,,
2025,5-1차,25.04.30 (수),25.05.30 (금),25.06.09 (월),25.06.12 (목),25.07.08 (화),25.07.23 (수),광명시흥,B1-3,60-85,"1,148세대",나눔형,"3,666억",- Dlenc57+계룡20+태영20+ESl3 (해안+행림),,,,,,,,,,,,,,,30,#REF!,#REF!,39,15
2025,5-1차,25.04.30 (수),25.05.30 (금),25.06.09 (월),25.06.12 (목),25.07.08 (화),25.07.23 (수),광명시흥,S1-10,60이하 / 60~85,"1,568세대",일반형,"4,454억",- Dlenc57+계룡20+태영20+ESl3 (해안+행림),,,,,,,,,,,,,,,,,,,
2025,5-2차,25.04.30 (수),25.05.30 (금),25.06.09 (월),25.06.12 (목),25.07.14 (월),25.07.22 (화),광명시흥,A2-5,60이하,"1,177세대",일반형,"3,160억","- 대우+금호+동부+흥한 (DA+DMB+길+해마)
- 대방+대방산업개발+유림이앤씨",,,,,,,,,,,,,,,30,#REF!,#REF!,45,8
